# Date	real
06/01/26	26.48
06/01/26	26.42
06/01/26	26.41
06/01/26	26.48
06/01/26	26.53
06/01/26	26.5
06/01/26	26.49
06/01/26	26.5
06/01/26	26.48
06/01/26	26.43
07/19/26	26.5
07/19/26	26.52
07/19/26	26.5
07/19/26	26.51
07/19/26	26.51
07/19/26	26.51
07/19/26	26.51
07/19/26	26.52
07/19/26	26.51
07/19/26	26.51
07/20/26	26.51
07/20/26	26.52
07/20/26	26.52
07/20/26	26.51
07/20/26	26.52
07/20/26	26.5
07/20/26	26.52
07/20/26	26.5
07/20/26	26.51
07/20/26	26.51
07/26/26	44.71
07/26/26	53.06
07/26/26	53.06
07/26/26	53.07
07/26/26	53.08
07/26/26	53.07
07/26/26	44.37
07/26/26	53.09
07/26/26	53.05
07/26/26	53.07
07/26/26	52.68
07/26/26	53.09
07/26/26	53.06
07/26/26	53.07
07/26/26	53.07
07/26/26	52.85
07/26/26	53.08
07/26/26	53.05
07/26/26	53.06
07/26/26	52.68
07/27/26	26.53
07/27/26	26.62
07/27/26	26.53
07/27/26	26.52
07/27/26	26.52
07/27/26	26.51
07/27/26	26.53
07/27/26	26.51
07/27/26	26.52
07/27/26	26.52
