# Date	real
06/01/26	28.86
06/01/26	28.85
06/01/26	28.87
06/01/26	28.86
06/01/26	28.73
06/01/26	28.92
06/01/26	28.84
06/01/26	28.73
06/01/26	28.87
06/01/26	28.85
07/19/26	28.64
07/19/26	28.63
07/19/26	28.64
07/19/26	28.63
07/19/26	28.64
07/19/26	28.63
07/19/26	28.63
07/19/26	28.64
07/19/26	28.63
07/19/26	28.64
07/21/26	28.63
07/21/26	28.64
07/21/26	28.63
07/21/26	28.63
07/21/26	29.48
07/21/26	28.64
07/21/26	28.64
07/21/26	28.64
07/21/26	28.63
07/21/26	28.64
07/26/26	57.71
07/26/26	49.16
07/26/26	57.72
07/26/26	49.16
07/26/26	57.77
07/26/26	49.09
07/26/26	57.73
07/26/26	49.15
07/26/26	57.68
07/26/26	49.14
07/26/26	56.96
07/26/26	57.31
07/26/26	57.0
07/26/26	57.3
07/26/26	57.31
07/26/26	56.94
07/26/26	57.31
07/26/26	57.21
07/26/26	56.91
07/26/26	57.31
07/27/26	28.63
07/27/26	28.64
07/27/26	28.63
07/27/26	28.64
07/27/26	28.63
07/27/26	28.64
07/27/26	28.63
07/27/26	28.64
07/27/26	28.63
07/27/26	28.64
