# Date	real
06/01/26	26.37
06/01/26	26.38
06/01/26	26.37
06/01/26	26.38
06/01/26	26.37
06/01/26	26.37
06/01/26	26.38
06/01/26	26.37
06/01/26	26.39
06/01/26	26.38
07/19/26	26.61
07/19/26	26.62
07/19/26	26.6
07/19/26	26.61
07/19/26	27.63
07/19/26	27.63
07/19/26	27.62
07/19/26	26.62
07/19/26	26.62
07/19/26	26.61
07/21/26	26.63
07/21/26	26.62
07/21/26	26.62
07/21/26	26.61
07/21/26	26.62
07/21/26	26.61
07/21/26	26.62
07/21/26	26.62
07/21/26	26.58
07/21/26	26.62
07/26/26	45.02
07/26/26	53.64
07/26/26	49.73
07/26/26	26.67
07/26/26	31.23
07/26/26	44.93
07/26/26	44.33
07/26/26	40.27
07/26/26	42.58
07/26/26	45.06
07/26/26	53.26
07/26/26	53.26
07/26/26	52.88
07/26/26	53.27
07/26/26	52.86
07/26/26	53.27
07/26/26	53.27
07/26/26	52.8
07/26/26	53.25
07/26/26	53.27
07/27/26	26.58
07/27/26	26.57
07/27/26	26.58
07/27/26	26.6
07/27/26	26.61
07/27/26	26.87
07/27/26	26.6
07/27/26	26.59
07/27/26	26.61
07/27/26	26.61
