# Date	real
06/01/26	24.62
06/01/26	24.61
06/01/26	24.61
06/01/26	24.62
06/01/26	24.61
06/01/26	24.62
06/01/26	24.62
06/01/26	24.61
06/01/26	24.63
06/01/26	24.61
07/19/26	24.58
07/19/26	24.59
07/19/26	24.58
07/19/26	24.59
07/19/26	24.58
07/19/26	24.59
07/19/26	24.59
07/19/26	24.58
07/19/26	24.59
07/19/26	24.58
07/21/26	24.58
07/21/26	24.58
07/21/26	24.59
07/21/26	24.58
07/21/26	24.58
07/21/26	24.58
07/21/26	24.58
07/21/26	24.59
07/21/26	24.58
07/21/26	24.81
07/26/26	38.27
07/26/26	38.29
07/26/26	24.6
07/26/26	33.64
07/26/26	38.27
07/26/26	36.08
07/26/26	39.73
07/26/26	40.57
07/26/26	38.81
07/26/26	36.04
07/26/26	35.0
07/26/26	42.98
07/26/26	24.61
07/26/26	29.01
07/26/26	46.91
07/26/26	31.31
07/26/26	25.04
07/26/26	46.54
07/26/26	33.98
07/26/26	24.6
07/27/26	24.59
07/27/26	24.58
07/27/26	24.59
07/27/26	24.58
07/27/26	24.58
07/27/26	24.58
07/27/26	24.57
07/27/26	24.58
07/27/26	24.58
07/27/26	24.59
