# Date	real
06/02/26	24.63
06/02/26	24.62
06/02/26	25.57
06/02/26	24.62
06/02/26	24.62
06/02/26	24.63
06/02/26	24.62
06/02/26	24.62
06/02/26	24.62
06/02/26	24.63
07/19/26	24.59
07/19/26	24.58
07/19/26	24.58
07/19/26	24.59
07/19/26	24.58
07/19/26	24.58
07/19/26	24.58
07/19/26	24.58
07/19/26	24.59
07/19/26	24.58
07/21/26	24.59
07/21/26	24.58
07/21/26	24.59
07/21/26	24.59
07/21/26	24.59
07/21/26	24.6
07/21/26	24.58
07/21/26	24.59
07/21/26	24.58
07/21/26	24.58
07/26/26	24.58
07/26/26	24.59
07/26/26	24.58
07/26/26	24.58
07/26/26	24.59
07/26/26	24.58
07/26/26	24.59
07/26/26	24.58
07/26/26	24.58
07/26/26	24.58
07/27/26	24.58
07/27/26	24.59
07/27/26	24.59
07/27/26	24.58
07/27/26	24.59
07/27/26	24.58
07/27/26	24.58
07/27/26	24.59
07/27/26	24.58
07/27/26	24.59
