# Date	real
06/01/26	28.57
06/01/26	28.51
06/01/26	28.53
06/01/26	28.53
06/02/26	28.55
06/02/26	28.53
06/02/26	28.56
06/02/26	28.55
06/02/26	28.52
06/02/26	28.53
07/19/26	29.57
07/19/26	29.56
07/19/26	29.23
07/19/26	28.47
07/19/26	28.48
07/19/26	28.47
07/19/26	28.47
07/19/26	28.48
07/19/26	28.47
07/19/26	28.48
07/21/26	28.48
07/21/26	29.56
07/21/26	29.57
07/21/26	29.56
07/21/26	29.57
07/21/26	29.56
07/21/26	29.56
07/21/26	29.56
07/21/26	29.5
07/21/26	28.47
07/26/26	56.99
07/26/26	56.98
07/26/26	56.6
07/26/26	56.98
07/26/26	56.99
07/26/26	56.98
07/26/26	56.59
07/26/26	56.98
07/26/26	56.99
07/26/26	56.99
07/26/26	28.56
07/26/26	28.5
07/26/26	29.9
07/26/26	47.49
07/26/26	28.7
07/26/26	28.62
07/26/26	28.5
07/26/26	28.46
07/26/26	49.11
07/26/26	28.51
07/27/26	28.47
07/27/26	28.46
07/27/26	28.47
07/27/26	28.46
07/27/26	28.47
07/27/26	28.46
07/27/26	28.47
07/27/26	28.46
07/27/26	28.47
07/27/26	28.46
