# Date	real
06/02/26	80.35
06/02/26	80.25
06/02/26	80.37
06/02/26	80.2
06/02/26	83.19
06/02/26	80.37
06/02/26	80.27
06/02/26	80.28
06/02/26	80.64
06/02/26	80.28
07/19/26	75.93
07/19/26	77.54
07/19/26	77.31
07/19/26	75.21
07/19/26	75.22
07/19/26	75.16
07/19/26	75.24
07/19/26	75.25
07/19/26	75.19
07/19/26	75.23
07/21/26	75.24
07/21/26	75.21
07/21/26	75.23
07/21/26	75.13
07/21/26	75.14
07/21/26	75.23
07/21/26	75.23
07/21/26	75.21
07/21/26	75.25
07/21/26	75.08
07/26/26	150.6
07/26/26	105.2
07/26/26	149.9
07/26/26	149.6
07/26/26	149.8
07/26/26	126.5
07/26/26	131.6
07/26/26	149.8
07/26/26	149.5
07/26/26	136.1
07/26/26	94.79
07/26/26	76.8
07/26/26	93.24
07/26/26	78.63
07/26/26	75.6
07/26/26	89.62
07/26/26	75.68
07/26/26	89.66
07/26/26	75.81
07/26/26	89.41
07/27/26	75.28
07/27/26	75.17
07/27/26	75.21
07/27/26	75.22
07/27/26	75.23
07/27/26	75.32
07/27/26	75.21
07/27/26	75.27
07/27/26	75.41
07/27/26	75.39
