# Date	real
05/23/26	3.532
05/23/26	3.529
05/23/26	3.531
05/23/26	3.532
05/23/26	3.363
05/23/26	3.359
05/23/26	3.353
05/23/26	3.36
05/23/26	3.365
05/23/26	3.363
06/02/26	3.372
06/02/26	3.36
06/02/26	3.358
06/02/26	3.361
06/02/26	3.383
06/02/26	3.356
06/02/26	3.358
06/02/26	3.338
06/02/26	3.37
06/02/26	3.363
07/19/26	3.357
07/19/26	3.361
07/19/26	3.369
07/19/26	3.36
07/19/26	3.359
07/19/26	3.357
07/19/26	3.355
07/19/26	3.34
07/19/26	3.357
07/19/26	3.369
07/21/26	3.36
07/21/26	3.37
07/21/26	3.364
07/21/26	3.362
07/21/26	3.36
07/21/26	3.365
07/21/26	3.358
07/21/26	3.355
07/21/26	3.361
07/21/26	3.359
07/26/26	6.723
07/26/26	6.722
07/26/26	6.731
07/26/26	6.724
07/26/26	6.728
07/26/26	6.726
07/26/26	6.676
07/26/26	6.724
07/26/26	6.688
07/26/26	6.733
07/26/26	3.457
07/26/26	3.401
07/26/26	6.31
07/26/26	7.015
07/26/26	7.003
07/26/26	5.828
07/26/26	3.981
07/26/26	3.395
07/26/26	3.376
07/26/26	3.361
07/27/26	3.361
07/27/26	3.359
07/27/26	3.356
07/27/26	3.359
07/27/26	3.36
07/27/26	3.347
07/27/26	3.367
07/27/26	3.364
07/27/26	3.354
07/27/26	3.36
