# Date	real
05/23/26	3.383
05/23/26	3.385
05/23/26	3.382
05/23/26	3.48
05/23/26	3.565
05/23/26	3.555
05/23/26	3.559
05/23/26	3.569
05/23/26	3.567
05/23/26	3.553
06/02/26	3.388
06/02/26	3.379
06/02/26	3.39
06/02/26	3.388
06/02/26	3.392
06/02/26	3.404
06/02/26	3.384
06/02/26	3.379
06/02/26	3.388
06/02/26	3.387
07/19/26	3.395
07/19/26	3.382
07/19/26	3.381
07/19/26	3.379
07/19/26	3.384
07/19/26	3.382
07/19/26	3.38
07/19/26	3.38
07/19/26	3.384
07/19/26	3.384
07/21/26	3.393
07/21/26	3.38
07/21/26	3.383
07/21/26	3.391
07/21/26	3.382
07/21/26	3.384
07/21/26	3.387
07/21/26	3.388
07/21/26	3.384
07/21/26	3.382
07/26/26	6.782
07/26/26	6.395
07/26/26	6.774
07/26/26	6.779
07/26/26	6.782
07/26/26	6.77
07/26/26	6.783
07/26/26	6.76
07/26/26	6.711
07/26/26	6.777
07/26/26	3.422
07/26/26	3.421
07/26/26	3.407
07/26/26	3.407
07/26/26	3.412
07/26/26	3.41
07/26/26	3.417
07/26/26	3.477
07/26/26	3.448
07/26/26	3.425
07/27/26	3.392
07/27/26	3.379
07/27/26	3.377
07/27/26	3.378
07/27/26	3.388
07/27/26	3.381
07/27/26	3.382
07/27/26	3.387
07/27/26	3.38
07/27/26	3.382
