# Date	real
06/02/26	2.923
06/02/26	2.919
06/02/26	2.917
06/02/26	2.918
06/02/26	2.917
06/02/26	2.915
06/02/26	2.916
06/02/26	2.914
06/02/26	2.915
06/02/26	2.918
07/19/26	2.912
07/19/26	2.915
07/19/26	2.914
07/19/26	2.913
07/19/26	2.913
07/19/26	2.916
07/19/26	2.913
07/19/26	2.922
07/19/26	2.915
07/19/26	2.916
07/21/26	2.915
07/21/26	2.911
07/21/26	2.913
07/21/26	2.911
07/21/26	2.913
07/21/26	2.91
07/21/26	2.911
07/21/26	2.913
07/21/26	2.915
07/21/26	2.912
07/26/26	5.832
07/26/26	5.824
07/26/26	5.827
07/26/26	5.457
07/26/26	5.839
07/26/26	5.837
07/26/26	5.821
07/26/26	5.829
07/26/26	5.827
07/26/26	5.829
07/26/26	2.971
07/26/26	2.949
07/26/26	2.935
07/26/26	2.936
07/26/26	2.936
07/26/26	2.938
07/26/26	2.936
07/26/26	2.937
07/26/26	2.936
07/26/26	2.945
07/27/26	2.913
07/27/26	2.914
07/27/26	2.916
07/27/26	2.923
07/27/26	2.914
07/27/26	2.914
07/27/26	2.914
07/27/26	2.912
07/27/26	2.912
07/27/26	2.914
