# Date	real
05/23/26	3.418
05/23/26	3.255
05/23/26	3.252
05/23/26	3.254
05/23/26	3.25
05/23/26	3.255
05/23/26	3.26
05/23/26	3.257
05/23/26	3.252
05/23/26	3.25
06/02/26	3.268
06/02/26	3.26
06/02/26	3.252
06/02/26	3.237
06/02/26	3.249
06/02/26	3.247
06/02/26	3.425
06/02/26	3.422
06/02/26	3.42
06/02/26	3.421
07/19/26	3.227
07/19/26	3.249
07/19/26	3.251
07/19/26	3.253
07/19/26	3.253
07/19/26	3.251
07/19/26	3.245
07/19/26	3.237
07/19/26	3.256
07/19/26	3.253
07/21/26	3.249
07/21/26	3.249
07/21/26	3.253
07/21/26	3.254
07/21/26	3.224
07/21/26	3.26
07/21/26	3.256
07/21/26	3.251
07/21/26	3.253
07/21/26	3.25
07/26/26	6.118
07/26/26	6.5
07/26/26	6.506
07/26/26	6.498
07/26/26	6.507
07/26/26	6.513
07/26/26	6.503
07/26/26	6.141
07/26/26	6.507
07/26/26	6.505
07/26/26	3.262
07/26/26	3.253
07/26/26	3.277
07/26/26	3.256
07/26/26	3.284
07/26/26	3.322
07/26/26	3.323
07/26/26	3.29
07/26/26	6.542
07/26/26	6.553
07/27/26	3.251
07/27/26	3.256
07/27/26	3.251
07/27/26	3.253
07/27/26	3.251
07/27/26	3.252
07/27/26	3.253
07/27/26	3.243
07/27/26	3.251
07/27/26	3.256
