# Date	real
05/23/26	2.918
05/23/26	2.92
05/23/26	2.916
05/23/26	2.915
05/23/26	2.916
05/23/26	2.915
05/23/26	2.917
05/23/26	2.915
05/23/26	2.92
05/23/26	2.914
06/02/26	2.915
06/02/26	2.915
06/02/26	2.914
06/02/26	2.915
06/02/26	2.916
06/02/26	2.914
06/02/26	2.916
06/02/26	2.914
06/02/26	2.914
06/02/26	2.918
07/19/26	2.912
07/19/26	2.916
07/19/26	2.915
07/19/26	2.913
07/19/26	2.923
07/19/26	2.915
07/19/26	2.914
07/19/26	2.915
07/19/26	2.912
07/19/26	2.914
07/21/26	2.915
07/21/26	2.916
07/21/26	2.915
07/21/26	2.913
07/21/26	2.916
07/21/26	2.913
07/21/26	2.913
07/21/26	2.914
07/21/26	2.914
07/21/26	2.914
07/26/26	5.832
07/26/26	5.827
07/26/26	5.838
07/26/26	5.838
07/26/26	5.832
07/26/26	5.83
07/26/26	5.837
07/26/26	5.831
07/26/26	5.832
07/26/26	5.839
07/26/26	2.922
07/26/26	2.934
07/26/26	2.939
07/26/26	2.939
07/26/26	2.938
07/26/26	2.949
07/26/26	2.966
07/26/26	2.944
07/26/26	2.948
07/26/26	2.939
07/27/26	2.914
07/27/26	2.923
07/27/26	2.913
07/27/26	2.914
07/27/26	2.915
07/27/26	2.913
07/27/26	2.916
07/27/26	2.916
07/27/26	2.915
07/27/26	2.918
