# Date	real
05/23/26	2.916
05/23/26	2.915
05/23/26	2.917
05/23/26	2.914
05/23/26	2.913
05/23/26	2.916
05/23/26	2.913
05/23/26	2.915
05/23/26	2.914
05/23/26	3.029
06/02/26	2.918
06/02/26	2.916
06/02/26	2.915
06/02/26	2.917
06/02/26	2.917
06/02/26	2.916
06/02/26	2.917
06/02/26	2.915
06/02/26	2.915
06/02/26	2.917
07/19/26	2.915
07/19/26	2.913
07/19/26	2.913
07/19/26	3.027
07/19/26	2.912
07/19/26	2.912
07/19/26	2.917
07/19/26	2.92
07/19/26	2.912
07/19/26	2.913
07/21/26	2.921
07/21/26	2.916
07/21/26	2.912
07/21/26	2.913
07/21/26	2.914
07/21/26	2.913
07/21/26	2.912
07/21/26	2.914
07/21/26	2.913
07/21/26	2.914
07/26/26	2.939
07/26/26	2.933
07/26/26	2.929
07/26/26	2.934
07/26/26	2.925
07/26/26	2.93
07/26/26	2.932
07/26/26	2.941
07/26/26	2.947
07/26/26	2.945
07/26/26	2.942
07/26/26	2.935
07/26/26	2.938
07/26/26	2.936
07/26/26	2.978
07/26/26	2.954
07/26/26	2.981
07/26/26	2.932
07/26/26	2.931
07/26/26	2.921
07/27/26	2.915
07/27/26	2.914
07/27/26	2.918
07/27/26	2.914
07/27/26	2.924
07/27/26	2.912
07/27/26	2.914
07/27/26	2.911
07/27/26	2.915
07/27/26	2.913
