# Date	real
06/02/26	2.272
06/02/26	2.274
06/02/26	2.272
06/02/26	2.269
06/02/26	2.274
06/02/26	2.28
06/02/26	2.27
06/02/26	2.274
06/02/26	2.271
06/02/26	2.271
07/19/26	2.285
07/19/26	2.283
07/19/26	2.282
07/19/26	2.284
07/19/26	2.284
07/19/26	2.283
07/19/26	2.282
07/19/26	2.289
07/19/26	2.284
07/19/26	2.284
07/21/26	2.283
07/21/26	2.282
07/21/26	2.287
07/21/26	2.284
07/21/26	2.286
07/21/26	2.284
07/21/26	2.287
07/21/26	2.282
07/21/26	2.291
07/21/26	2.282
07/26/26	4.578
07/26/26	4.568
07/26/26	4.575
07/26/26	4.295
07/26/26	4.578
07/26/26	4.57
07/26/26	4.568
07/26/26	4.575
07/26/26	4.569
07/26/26	4.576
07/26/26	2.355
07/26/26	2.315
07/26/26	2.315
07/26/26	2.296
07/26/26	2.307
07/26/26	2.285
07/26/26	2.279
07/26/26	2.318
07/26/26	2.311
07/26/26	2.291
07/27/26	2.282
07/27/26	2.286
07/27/26	2.284
07/27/26	2.283
07/27/26	2.284
07/27/26	2.283
07/27/26	2.283
07/27/26	2.29
07/27/26	2.282
07/27/26	2.284
