# Date	real
06/02/26	1.765
06/02/26	1.827
06/02/26	1.753
06/02/26	1.757
06/02/26	1.752
06/02/26	1.767
06/02/26	1.789
06/02/26	1.768
06/02/26	1.755
06/02/26	1.752
07/19/26	1.758
07/19/26	1.758
07/19/26	1.766
07/19/26	1.752
07/19/26	1.767
07/19/26	1.752
07/19/26	1.757
07/19/26	1.766
07/19/26	1.755
07/19/26	1.765
07/21/26	1.755
07/21/26	1.768
07/21/26	1.754
07/21/26	1.765
07/21/26	1.756
07/21/26	1.759
07/21/26	1.767
07/21/26	1.767
07/21/26	1.764
07/21/26	1.754
07/26/26	1.756
07/26/26	1.767
07/26/26	1.754
07/26/26	1.763
07/26/26	1.759
07/26/26	1.761
07/26/26	1.766
07/26/26	1.78
07/26/26	1.768
07/26/26	1.753
07/27/26	1.757
07/27/26	1.769
07/27/26	1.758
07/27/26	1.756
07/27/26	1.757
07/27/26	1.756
07/27/26	1.77
07/27/26	1.756
07/27/26	1.766
07/27/26	1.757
