# Date	real
06/02/26	14.92
06/02/26	14.99
06/02/26	14.93
06/02/26	14.98
06/02/26	15.1
06/02/26	14.94
06/02/26	14.97
06/02/26	14.96
06/02/26	14.95
06/02/26	14.99
07/19/26	15.03
07/19/26	15.05
07/19/26	15.03
07/19/26	15.08
07/19/26	15.2
07/19/26	14.97
07/19/26	15.08
07/19/26	15.1
07/19/26	15.06
07/19/26	15.04
07/21/26	15.02
07/21/26	15.06
07/21/26	15.02
07/21/26	14.99
07/21/26	15.02
07/21/26	15.0
07/21/26	15.01
07/21/26	15.03
07/21/26	15.04
07/21/26	15.1
07/26/26	30.0
07/26/26	30.07
07/26/26	30.07
07/26/26	30.16
07/26/26	29.59
07/26/26	29.97
07/26/26	29.98
07/26/26	29.96
07/26/26	29.94
07/26/26	29.95
07/26/26	15.29
07/26/26	15.48
07/26/26	15.22
07/26/26	15.34
07/26/26	15.18
07/26/26	15.21
07/26/26	18.57
07/26/26	25.45
07/26/26	15.28
07/26/26	15.27
07/27/26	15.04
07/27/26	15.02
07/27/26	15.02
07/27/26	15.01
07/27/26	15.02
07/27/26	15.11
07/27/26	15.02
07/27/26	14.99
07/27/26	15.04
07/27/26	15.03
