# Date	real
06/02/26	16.69
06/02/26	16.73
06/02/26	16.68
06/02/26	16.68
06/02/26	16.65
06/02/26	16.7
06/02/26	16.67
06/02/26	16.69
06/02/26	16.65
06/02/26	16.7
07/19/26	16.62
07/19/26	16.64
07/19/26	16.65
07/19/26	16.62
07/19/26	16.62
07/19/26	17.39
07/19/26	17.28
07/19/26	17.41
07/19/26	17.4
07/19/26	17.38
07/21/26	16.67
07/21/26	16.69
07/21/26	16.65
07/21/26	16.67
07/21/26	16.65
07/21/26	16.69
07/21/26	16.72
07/21/26	17.0
07/21/26	16.68
07/21/26	16.77
07/26/26	16.66
07/26/26	16.66
07/26/26	16.72
07/26/26	16.65
07/26/26	16.6
07/26/26	16.7
07/26/26	16.73
07/26/26	16.71
07/26/26	16.6
07/26/26	16.74
07/27/26	16.64
07/27/26	16.69
07/27/26	16.68
07/27/26	16.66
07/27/26	16.65
07/27/26	16.66
07/27/26	16.68
07/27/26	16.71
07/27/26	16.66
07/27/26	16.66
