# Date	real
07/19/26	22.46
07/19/26	22.57
07/19/26	23.49
07/19/26	22.49
07/19/26	22.53
07/19/26	22.45
07/19/26	22.54
07/19/26	22.56
07/19/26	22.53
07/19/26	22.46
07/21/26	22.47
07/21/26	22.48
07/21/26	22.49
07/21/26	22.5
07/21/26	22.49
07/21/26	22.51
07/21/26	22.47
07/21/26	22.44
07/21/26	22.43
07/21/26	22.54
07/26/26	43.21
07/26/26	43.1
07/26/26	43.18
07/26/26	27.52
07/26/26	42.78
07/26/26	42.31
07/26/26	42.68
07/26/26	42.96
07/26/26	42.63
07/26/26	42.84
07/26/26	22.79
07/26/26	22.72
07/26/26	22.66
07/26/26	22.86
07/26/26	22.87
07/26/26	24.08
07/26/26	36.93
07/26/26	43.33
07/26/26	33.54
07/26/26	23.49
07/27/26	22.55
07/27/26	22.5
07/27/26	22.51
07/27/26	22.54
07/27/26	22.45
07/27/26	22.5
07/27/26	22.46
07/27/26	22.54
07/27/26	22.48
07/27/26	22.46
