# Date	real
07/19/26	42.92
07/19/26	43.66
07/19/26	42.7
07/19/26	42.71
07/19/26	42.67
07/19/26	42.77
07/19/26	42.62
07/19/26	42.71
07/19/26	42.73
07/19/26	42.76
07/21/26	42.83
07/21/26	42.79
07/21/26	42.82
07/21/26	42.84
07/21/26	43.32
07/21/26	42.83
07/21/26	43.41
07/21/26	42.88
07/21/26	42.88
07/21/26	43.45
07/26/26	51.9
07/26/26	52.43
07/26/26	52.72
07/26/26	52.5
07/26/26	52.44
07/26/26	51.4
07/26/26	51.24
07/26/26	51.04
07/26/26	51.21
07/26/26	51.7
07/26/26	52.32
07/26/26	51.8
07/26/26	51.91
07/26/26	51.99
07/26/26	51.72
07/26/26	51.7
07/27/26	42.89
07/27/26	43.45
07/27/26	42.89
07/27/26	42.81
07/27/26	43.13
07/27/26	42.92
07/27/26	42.7
07/27/26	42.71
07/27/26	42.69
07/27/26	42.77
