# Date	real
07/19/26	42.89
07/19/26	42.85
07/19/26	42.98
07/19/26	43.0
07/19/26	42.98
07/19/26	42.94
07/19/26	43.01
07/19/26	42.95
07/19/26	42.99
07/19/26	42.92
07/21/26	43.11
07/21/26	43.11
07/21/26	42.82
07/21/26	42.92
07/21/26	42.91
07/21/26	42.89
07/21/26	43.08
07/21/26	43.02
07/21/26	43.09
07/21/26	42.93
07/26/26	54.61
07/26/26	55.79
07/26/26	54.85
07/26/26	53.87
07/26/26	55.38
07/26/26	53.97
07/26/26	55.28
07/26/26	55.31
07/26/26	54.36
07/27/26	43.07
07/27/26	43.02
07/27/26	43.0
07/27/26	43.8
07/27/26	43.03
07/27/26	43.16
07/27/26	43.0
07/27/26	43.29
07/27/26	43.01
07/27/26	42.99
