# Date	real
07/19/26	42.74
07/19/26	42.73
07/19/26	42.92
07/19/26	43.03
07/19/26	42.79
07/19/26	42.77
07/19/26	42.83
07/19/26	44.9
07/19/26	42.84
07/19/26	42.9
07/21/26	42.82
07/21/26	42.88
07/21/26	42.93
07/21/26	42.9
07/21/26	42.75
07/21/26	43.6
07/21/26	42.74
07/21/26	42.96
07/21/26	42.76
07/21/26	61.75
07/26/26	54.04
07/26/26	54.86
07/26/26	54.86
07/26/26	54.62
07/26/26	54.63
07/26/26	54.25
07/26/26	53.79
07/26/26	42.84
07/26/26	42.8
07/26/26	42.84
07/27/26	42.91
07/27/26	42.86
07/27/26	42.87
07/27/26	42.76
07/27/26	42.99
07/27/26	43.3
07/27/26	42.93
07/27/26	43.0
07/27/26	43.04
07/27/26	43.61
