# Date	real
07/19/26	17.26
07/19/26	17.27
07/19/26	17.27
07/19/26	17.28
07/19/26	17.29
07/19/26	17.31
07/19/26	17.29
07/19/26	17.28
07/19/26	17.24
07/19/26	17.29
07/21/26	17.29
07/21/26	17.28
07/21/26	17.27
07/21/26	17.29
07/21/26	17.3
07/21/26	17.29
07/21/26	17.29
07/21/26	17.27
07/21/26	17.27
07/21/26	17.27
07/26/26	29.28
07/26/26	29.26
07/26/26	29.28
07/26/26	17.64
07/26/26	24.24
07/26/26	28.28
07/26/26	28.66
07/26/26	17.52
07/26/26	17.63
07/26/26	28.85
07/26/26	26.69
07/26/26	17.65
07/26/26	17.91
07/26/26	19.7
07/26/26	20.65
07/26/26	17.59
07/26/26	17.49
07/26/26	17.37
07/26/26	17.76
07/26/26	17.64
07/27/26	17.28
07/27/26	17.26
07/27/26	17.31
07/27/26	17.28
07/27/26	17.26
07/27/26	17.3
07/27/26	17.29
07/27/26	17.29
07/27/26	17.28
07/27/26	17.31
