# Date	real
07/19/26	5.521
07/19/26	5.516
07/19/26	5.52
07/19/26	5.502
07/19/26	5.499
07/19/26	5.509
07/19/26	5.509
07/19/26	5.51
07/19/26	5.53
07/19/26	5.505
07/21/26	5.493
07/21/26	5.438
07/21/26	5.491
07/21/26	5.476
07/21/26	5.496
07/21/26	5.505
07/21/26	5.475
07/21/26	5.486
07/21/26	5.486
07/21/26	5.488
07/26/26	5.656
07/26/26	5.607
07/26/26	8.592
07/26/26	7.782
07/26/26	5.7
07/26/26	5.578
07/26/26	5.615
07/26/26	5.645
07/26/26	5.935
07/26/26	5.524
07/26/26	5.63
07/26/26	5.554
07/26/26	5.887
07/26/26	5.594
07/26/26	5.51
07/26/26	10.47
07/26/26	5.63
07/26/26	5.655
07/26/26	5.429
07/26/26	5.604
07/27/26	5.475
07/27/26	5.472
07/27/26	5.465
07/27/26	5.481
07/27/26	5.495
07/27/26	5.486
07/27/26	5.51
07/27/26	5.493
07/27/26	5.48
07/27/26	5.478
