# Date	real
06/02/26	44.12
06/02/26	44.15
06/02/26	44.32
06/02/26	43.98
06/02/26	44.35
06/02/26	44.22
06/02/26	43.94
06/02/26	44.07
06/02/26	44.02
06/02/26	44.51
07/19/26	42.85
07/19/26	43.03
07/19/26	42.78
07/19/26	42.79
07/19/26	43.6
07/19/26	42.93
07/19/26	42.97
07/19/26	43.25
07/19/26	42.85
07/19/26	42.85
07/21/26	43.07
07/21/26	45.32
07/21/26	43.17
07/21/26	43.12
07/21/26	43.09
07/21/26	43.43
07/21/26	43.25
07/21/26	43.05
07/21/26	43.11
07/21/26	43.15
07/26/26	43.11
07/26/26	43.13
07/26/26	43.09
07/26/26	43.09
07/26/26	43.15
07/26/26	43.38
07/26/26	43.28
07/26/26	43.18
07/26/26	43.21
07/26/26	43.19
07/27/26	43.17
07/27/26	43.17
07/27/26	43.36
07/27/26	43.25
07/27/26	43.14
07/27/26	43.18
07/27/26	43.13
07/27/26	43.13
07/27/26	43.65
07/27/26	43.75
