# Date	real
07/19/26	7.638
07/19/26	7.635
07/19/26	7.638
07/19/26	7.677
07/19/26	7.639
07/19/26	7.637
07/19/26	7.641
07/19/26	7.64
07/19/26	7.638
07/19/26	7.636
07/21/26	7.777
07/21/26	7.781
07/21/26	7.772
07/21/26	7.773
07/21/26	7.813
07/21/26	7.791
07/21/26	7.776
07/21/26	7.783
07/21/26	7.78
07/21/26	7.772
07/26/26	7.643
07/26/26	7.671
07/26/26	7.634
07/26/26	7.638
07/26/26	7.635
07/26/26	7.638
07/26/26	7.633
07/26/26	7.636
07/26/26	7.654
07/26/26	7.657
07/27/26	7.646
07/27/26	7.64
07/27/26	7.649
07/27/26	7.668
07/27/26	7.635
07/27/26	7.639
07/27/26	7.64
07/27/26	7.63
07/27/26	7.643
07/27/26	7.634
