# Date	real
07/19/26	7.635
07/19/26	7.633
07/19/26	7.834
07/19/26	7.745
07/19/26	7.647
07/19/26	7.633
07/19/26	7.627
07/19/26	7.631
07/19/26	7.642
07/19/26	7.656
07/21/26	7.649
07/21/26	7.662
07/21/26	7.654
07/21/26	7.663
07/21/26	7.668
07/21/26	7.64
07/21/26	7.653
07/21/26	7.64
07/21/26	7.647
07/21/26	7.644
07/26/26	7.649
07/26/26	7.652
07/26/26	7.633
07/26/26	7.643
07/26/26	7.631
07/26/26	7.64
07/26/26	7.631
07/26/26	7.639
07/26/26	7.683
07/26/26	7.639
07/27/26	7.639
07/27/26	7.634
07/27/26	7.665
07/27/26	7.645
07/27/26	7.641
07/27/26	7.646
07/27/26	7.636
07/27/26	7.642
07/27/26	7.64
07/27/26	7.646
