# Date	real
07/19/26	7.564
07/19/26	7.571
07/19/26	7.615
07/19/26	7.57
07/19/26	7.567
07/19/26	7.564
07/19/26	7.569
07/19/26	7.56
07/19/26	7.569
07/19/26	7.582
07/21/26	7.571
07/21/26	7.577
07/21/26	7.569
07/21/26	7.612
07/21/26	7.57
07/21/26	7.58
07/21/26	7.57
07/21/26	7.57
07/21/26	7.572
07/21/26	7.569
07/26/26	7.603
07/26/26	7.562
07/26/26	7.569
07/26/26	7.566
07/26/26	7.567
07/26/26	7.572
07/26/26	7.56
07/26/26	7.577
07/26/26	7.585
07/26/26	7.566
07/27/26	7.568
07/27/26	7.579
07/27/26	7.594
07/27/26	7.566
07/27/26	7.575
07/27/26	7.563
07/27/26	7.567
07/27/26	7.568
07/27/26	7.574
07/27/26	7.604
