# Date	real
07/19/26	7.632
07/19/26	7.631
07/19/26	7.662
07/19/26	7.627
07/19/26	7.634
07/19/26	7.636
07/19/26	7.638
07/19/26	7.638
07/19/26	7.64
07/19/26	7.665
07/21/26	7.639
07/21/26	7.636
07/21/26	7.682
07/21/26	7.637
07/21/26	7.637
07/21/26	7.638
07/21/26	7.642
07/21/26	7.637
07/21/26	7.642
07/21/26	7.67
07/26/26	7.637
07/26/26	7.672
07/26/26	7.633
07/26/26	7.64
07/26/26	7.631
07/26/26	7.633
07/26/26	7.635
07/26/26	7.65
07/26/26	7.633
07/26/26	7.63
07/27/26	7.676
07/27/26	7.64
07/27/26	7.631
07/27/26	7.629
07/27/26	7.636
07/27/26	7.629
07/27/26	7.632
07/27/26	7.655
07/27/26	7.649
07/27/26	7.632
