# Date	real
07/19/26	7.66
07/19/26	7.633
07/19/26	7.633
07/19/26	7.648
07/19/26	7.629
07/19/26	7.632
07/19/26	7.639
07/19/26	7.651
07/19/26	7.65
07/19/26	7.631
07/21/26	7.641
07/21/26	7.665
07/21/26	7.641
07/21/26	7.639
07/21/26	7.644
07/21/26	7.64
07/21/26	7.648
07/21/26	7.646
07/21/26	7.678
07/21/26	7.648
07/26/26	7.643
07/26/26	7.634
07/26/26	7.637
07/26/26	7.636
07/26/26	7.631
07/26/26	7.674
07/26/26	7.628
07/26/26	7.638
07/26/26	7.633
07/26/26	7.634
07/27/26	7.65
07/27/26	7.637
07/27/26	7.644
07/27/26	7.637
07/27/26	7.635
07/27/26	7.631
07/27/26	7.634
07/27/26	7.664
07/27/26	7.636
07/27/26	7.638
