# Date	real
07/19/26	7.622
07/19/26	7.593
07/19/26	7.796
07/19/26	7.621
07/19/26	7.634
07/19/26	7.66
07/19/26	7.634
07/19/26	7.606
07/19/26	7.614
07/19/26	7.59
07/21/26	7.605
07/21/26	7.6
07/21/26	7.599
07/21/26	7.614
07/21/26	7.61
07/21/26	7.601
07/21/26	7.762
07/21/26	7.733
07/21/26	7.728
07/21/26	7.744
07/26/26	7.598
07/26/26	7.603
07/26/26	7.622
07/26/26	7.601
07/26/26	7.597
07/26/26	7.625
07/26/26	7.597
07/26/26	7.599
07/26/26	7.613
07/26/26	7.596
07/27/26	7.594
07/27/26	7.624
07/27/26	7.593
07/27/26	7.616
07/27/26	7.646
07/27/26	7.59
07/27/26	7.593
07/27/26	7.591
07/27/26	7.633
07/27/26	7.599
