# Date	real
07/19/26	7.67
07/19/26	7.62
07/19/26	7.631
07/19/26	7.631
07/19/26	7.632
07/19/26	7.642
07/19/26	7.631
07/19/26	7.682
07/19/26	7.632
07/19/26	7.639
07/21/26	7.662
07/21/26	7.638
07/21/26	7.653
07/21/26	7.769
07/21/26	7.771
07/21/26	7.774
07/21/26	7.786
07/21/26	7.77
07/21/26	7.642
07/21/26	7.649
07/26/26	7.633
07/26/26	7.628
07/26/26	7.629
07/26/26	7.63
07/26/26	7.653
07/26/26	7.658
07/26/26	7.629
07/26/26	7.627
07/26/26	7.639
07/26/26	7.638
07/27/26	7.634
07/27/26	7.64
07/27/26	7.639
07/27/26	7.641
07/27/26	7.648
07/27/26	7.747
07/27/26	7.715
07/27/26	7.712
07/27/26	7.738
07/27/26	7.637
