# Date	real
07/19/26	7.628
07/19/26	7.636
07/19/26	7.641
07/19/26	7.65
07/19/26	7.663
07/19/26	7.632
07/19/26	7.644
07/19/26	7.641
07/19/26	7.64
07/19/26	7.64
07/21/26	7.651
07/21/26	7.641
07/21/26	7.652
07/21/26	7.652
07/21/26	7.667
07/21/26	7.636
07/21/26	7.64
07/21/26	7.647
07/21/26	7.651
07/21/26	7.656
07/26/26	7.64
07/26/26	7.679
07/26/26	7.631
07/26/26	7.64
07/26/26	7.638
07/26/26	7.637
07/26/26	7.633
07/26/26	7.637
07/26/26	7.661
07/26/26	7.653
07/27/26	7.655
07/27/26	7.643
07/27/26	7.686
07/27/26	7.644
07/27/26	7.639
07/27/26	7.787
07/27/26	7.639
07/27/26	7.645
07/27/26	7.643
07/27/26	7.66
