# Date	real
07/19/26	72.36
07/19/26	71.47
07/19/26	71.66
07/19/26	72.46
07/19/26	72.45
07/19/26	72.01
07/19/26	71.96
07/19/26	72.73
07/19/26	72.27
07/19/26	72.54
07/21/26	73.2
07/21/26	73.24
07/21/26	72.6
07/21/26	72.73
07/21/26	72.57
07/21/26	71.94
07/21/26	72.35
07/21/26	72.4
07/21/26	72.31
07/21/26	72.45
07/26/26	343.8
07/26/26	349.6
07/26/26	279.0
07/26/26	352.3
07/26/26	317.6
07/26/26	451.4
07/26/26	444.3
07/26/26	381.8
07/26/26	351.1
07/26/26	322.0
07/27/26	71.77
07/27/26	71.94
07/27/26	72.4
07/27/26	71.78
07/27/26	72.32
07/27/26	72.08
07/27/26	73.45
07/27/26	72.2
07/27/26	72.72
07/27/26	72.37
