# Date	real
07/19/26	86.18
07/19/26	85.0
07/19/26	85.82
07/19/26	85.8
07/19/26	86.03
07/19/26	87.22
07/19/26	86.14
07/19/26	86.17
07/19/26	86.31
07/19/26	85.93
07/21/26	86.67
07/21/26	86.58
07/21/26	87.14
07/21/26	85.98
07/21/26	86.18
07/21/26	86.48
07/21/26	87.05
07/21/26	86.37
07/21/26	86.59
07/21/26	85.94
07/26/26	411.3
07/26/26	404.7
07/26/26	404.4
07/26/26	400.2
07/26/26	402.2
07/26/26	338.6
07/26/26	279.1
07/26/26	279.4
07/26/26	277.6
07/26/26	280.7
07/27/26	86.48
07/27/26	86.48
07/27/26	85.87
07/27/26	86.58
07/27/26	86.79
07/27/26	86.24
07/27/26	86.58
07/27/26	86.63
07/27/26	85.68
07/27/26	86.17
