# Date	real
07/19/26	86.46
07/19/26	86.94
07/19/26	86.31
07/19/26	86.84
07/19/26	86.61
07/19/26	86.31
07/19/26	85.75
07/19/26	85.77
07/19/26	85.92
07/19/26	86.17
07/21/26	86.28
07/21/26	86.96
07/21/26	86.52
07/21/26	86.66
07/21/26	86.28
07/21/26	87.14
07/21/26	86.58
07/21/26	86.44
07/21/26	87.18
07/21/26	86.21
07/26/26	278.4
07/26/26	281.4
07/26/26	304.2
07/26/26	280.1
07/26/26	280.7
07/26/26	277.7
07/26/26	295.1
07/26/26	404.4
07/26/26	302.6
07/26/26	285.2
07/27/26	85.49
07/27/26	86.45
07/27/26	85.98
07/27/26	85.99
07/27/26	86.03
07/27/26	86.17
07/27/26	86.67
07/27/26	86.54
07/27/26	86.79
07/27/26	85.62
