# Date	real
08/03/26	212.1
08/03/26	198.6
08/03/26	169.0
08/03/26	165.2
08/03/26	163.5
08/03/26	214.7
08/03/26	218.7
08/03/26	185.6
08/03/26	217.3
08/03/26	164.0
08/03/26	159.6
08/03/26	166.3
08/03/26	161.5
08/03/26	164.6
08/03/26	163.3
08/03/26	164.1
08/03/26	163.8
08/03/26	160.5
08/03/26	163.4
08/03/26	165.0
08/03/26	164.1
08/03/26	165.5
08/03/26	169.0
08/03/26	167.8
08/03/26	165.1
08/03/26	166.1
08/03/26	164.0
08/03/26	165.4
08/03/26	164.0
08/03/26	164.1
08/04/26	217.8
08/04/26	174.5
08/04/26	255.7
08/04/26	153.3
08/04/26	138.6
08/04/26	139.4
08/04/26	132.2
08/05/26	130.4
08/05/26	134.5
08/05/26	135.1
08/05/26	132.8
08/05/26	132.9
08/05/26	132.8
08/05/26	132.9
08/05/26	132.6
08/05/26	134.6
